id,sport,brand,name,sku,current_url
mizuno-gpsf-11d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12"" Fastpitch Softball Glove: GPSF-11D",gpsf-11d,https://www.justballgloves.com/product/mizuno-pro-select-12--fastpitch-softball-glove--gpsf-11d/?rfsn=9019128.19c2ec
mizuno-gpsf-13d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12"" Fastpitch Softball Glove: GPSF-13D",gpsf-13d,https://www.justballgloves.com/product/mizuno-pro-select-12--fastpitch-softball-glove--gpsf-13d/?rfsn=9019128.19c2ec
mizuno-gmvp1200pf4w-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 12"" Fastpitch Softball Glove: GMVP1200PF4W",gmvp1200pf4w,https://www.justballgloves.com/product/mizuno-mvp-prime-12--fastpitch-softball-glove--gmvp1200pf4w/?rfsn=9019128.19c2ec
mizuno-gmvp1200pf5-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 12"" Fastpitch Softball Glove: GMVP1200PF5",gmvp1200pf5,https://www.justballgloves.com/product/mizuno-mvp-prime-12--fastpitch-softball-glove--gmvp1200pf5/?rfsn=9019128.19c2ec
mizuno-gmvpf-10mp-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 12"" Fastpitch Softball Glove: GMVPF-10MP",gmvpf-10mp,https://www.justballgloves.com/product/mizuno-mvp-prime-12--fastpitch-softball-glove--gmvpf-10mp/?rfsn=9019128.19c2ec
mizuno-gpe1200f1a-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 12"" Fastpitch Softball Glove: GPE1200F1A",gpe1200f1a,https://www.justballgloves.com/product/mizuno-prime-elite-12--fastpitch-softball-glove--gpe1200f1a/?rfsn=9019128.19c2ec
mizuno-gfn1300f5-fastpitch,fastpitch,Mizuno,"Mizuno Franchise 13"" Fastpitch Softball Glove: GFN1300F5",gfn1300f5,https://www.justballgloves.com/product/mizuno-franchise-13--fastpitch-softball-glove--gfn1300f5/?rfsn=9019128.19c2ec
mizuno-gmvp1300pf4w-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 13"" Fastpitch Softball Glove: GMVP1300PF4W",gmvp1300pf4w,https://www.justballgloves.com/product/mizuno-mvp-prime-13--fastpitch-softball-glove--gmvp1300pf4w/?rfsn=9019128.19c2ec
mizuno-gpe1300f1-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 13"" Fastpitch Softball Glove: GPE1300F1",gpe1300f1,https://www.justballgloves.com/product/mizuno-prime-elite-13--fastpitch-softball-glove--gpe1300f1/?rfsn=9019128.19c2ec
mizuno-gpe1300f2-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 13"" Fastpitch Softball Glove: GPE1300F2",gpe1300f2,https://www.justballgloves.com/product/mizuno-prime-elite-13--fastpitch-softball-glove--gpe1300f2/?rfsn=9019128.19c2ec
mizuno-gpsf-70d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12.5"" Fastpitch Softball Glove: GPSF-70D",gpsf-70d,https://www.justballgloves.com/product/mizuno-pro-select-12-5--fastpitch-softball-glove--gpsf-70d/?rfsn=9019128.19c2ec
mizuno-gpsf-71d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12.5"" Fastpitch Softball Glove: GPSF-71D",gpsf-71d,https://www.justballgloves.com/product/mizuno-pro-select-12-5--fastpitch-softball-glove--gpsf-71d/?rfsn=9019128.19c2ec
mizuno-gpsf-72d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12.5"" Fastpitch Softball Glove: GPSF-72D",gpsf-72d,https://www.justballgloves.com/product/mizuno-pro-select-12-5--fastpitch-softball-glove--gpsf-72d/?rfsn=9019128.19c2ec
mizuno-gfn1250f5-fastpitch,fastpitch,Mizuno,"Mizuno Franchise 12.5"" Fastpitch Softball Glove: GFN1250F5",gfn1250f5,https://www.justballgloves.com/product/mizuno-franchise-12-5--fastpitch-softball-glove--gfn1250f5/?rfsn=9019128.19c2ec
mizuno-gmvp1250pf4w-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 12.5"" Fastpitch Softball Glove: GMVP1250PF4W",gmvp1250pf4w,https://www.justballgloves.com/product/mizuno-mvp-prime-12-5--fastpitch-softball-glove--gmvp1250pf4w/?rfsn=9019128.19c2ec
mizuno-gmvpf-60mp-fastpitch,fastpitch,Mizuno,"Mizuno MVP Prime 12.5"" Fastpitch Softball Glove: GMVPF-60MP",gmvpf-60mp,https://www.justballgloves.com/product/mizuno-mvp-prime-12-5--fastpitch-softball-glove--gmvpf-60mp/?rfsn=9019128.19c2ec
mizuno-gpe1250f2-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 12.5"" Fastpitch Softball Glove: GPE1250F2",gpe1250f2,https://www.justballgloves.com/product/mizuno-prime-elite-12-5--fastpitch-softball-glove--gpe1250f2/?rfsn=9019128.19c2ec
mizuno-gpexf-60-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 12.5"" Fastpitch Softball Glove: GPEXF-60",gpexf-60,https://www.justballgloves.com/product/mizuno-prime-elite-12-5--fastpitch-softball-glove--gpexf-60/?rfsn=9019128.19c2ec
rawlings-procm33fp-24gcb-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 33"" Fastpitch Softball Catcher's Mitt: PROCM33FP-24GCB",procm33fp-24gcb,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-33--fastpitch-softball-catchers-mitt--procm33fp-24gcb/?rfsn=9019128.19c2ec
rawlings-rlacm33fp-24gw-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 33"" Fastpitch Softball Catcher's Mitt: RLACM33FP-24GW",rlacm33fp-24gw,https://www.justballgloves.com/product/rawlings-liberty-advanced-33--fastpitch-softball-catchers-mitt--rlacm33fp-24gw/?rfsn=9019128.19c2ec
rawlings-rlacm34w-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 34"" Fastpitch Catcher's Mitt: RLACM34W",rlacm34w,https://www.justballgloves.com/product/rawlings-liberty-advanced-34--fastpitch-catchers-mitt--rlacm34w/?rfsn=9019128.19c2ec
rawlings-rr9sbcm33-24b-fastpitch,fastpitch,Rawlings,"Rawlings R9 33"" Fastpitch Softball Catcher's Mitt: RR9SBCM33-24B",rr9sbcm33-24b,https://www.justballgloves.com/product/rawlings-r9-33--fastpitch-softball-catchers-mitt--rr9sbcm33-24b/?rfsn=9019128.19c2ec
rawlings-prodctsbw-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 13"" Fastpitch First Base Mitt: PRODCTSBW",prodctsbw,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-13--fastpitch-first-base-mitt--prodctsbw/?rfsn=9019128.19c2ec
rawlings-rladctsbwng-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 4.0 Color Series 13"" Fastpitch Softball First Base Mitt: RLADCTSBWNG",rladctsbwng,https://www.justballgloves.com/product/rawlings-liberty-advanced-4-0-color-series-13--fastpitch-softball-first-base-mitt--rladctsbwng/?rfsn=9019128.19c2ec
rawlings-rladctsbwpug-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 13"" Fastpitch Softball First Base Mitt: RLADCTSBWPUG",rladctsbwpug,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-13--fastpitch-softball-first-base-mitt--rladctsbwpug/?rfsn=9019128.19c2ec
rawlings-rladctsbgcb-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 13"" Fastpitch Softball First Base Mitt: RLADCTSBGCB",rladctsbgcb,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-13--fastpitch-softball-first-base-mitt--rladctsbgcb/?rfsn=9019128.19c2ec
rawlings-rladctsbwsg-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 13"" Fastpitch Softball First Base Mitt: RLADCTSBWSG",rladctsbwsg,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-13--fastpitch-softball-first-base-mitt--rladctsbwsg/?rfsn=9019128.19c2ec
rawlings-rr9sbfbm-17b-fastpitch,fastpitch,Rawlings,"Rawlings R9 12.5"" Fastpitch Softball First Base Mitt: RR9SBFBM-17B",rr9sbfbm-17b,https://www.justballgloves.com/product/rawlings-r9-12-5--fastpitch-softball-first-base-mitt--rr9sbfbm-17b/?rfsn=9019128.19c2ec
rawlings-rsofbm12w-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 12"" Fastpitch First Base Mitt: RSOFBM12W",rsofbm12w,https://www.justballgloves.com/product/rawlings-shut-out-12--fastpitch-first-base-mitt--rsofbm12w/?rfsn=9019128.19c2ec
rawlings-rsofbm12-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 12"" Youth Fastpitch Softball First Base Mitt: RSOFBM12",rsofbm12,https://www.justballgloves.com/product/rawlings-shut-out-12-youth--fastpitch-softball-first-base-mitt--rsofbm12/?rfsn=9019128.19c2ec
